deployment_id,risk_probability,risk_prediction,risk_band,unseen_categories,model_run,scored_at
UPC_00018,0.1880,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00019,0.2903,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00020,0.2948,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00021,0.7697,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00022,0.4733,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00023,0.7567,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00024,0.5570,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00025,0.6746,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00026,0.6358,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00027,0.4000,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00028,0.8337,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00029,0.5207,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00030,0.7563,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00031,0.6390,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00032,0.4906,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00033,0.7289,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00034,0.7231,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00035,0.6616,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00036,0.6127,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00037,0.8550,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00038,0.5466,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00039,0.7744,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00040,0.8556,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00041,0.9739,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00042,0.9763,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00043,0.9674,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00044,0.9811,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00045,0.9816,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00046,0.1764,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00047,0.2031,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00048,0.2203,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00049,0.2174,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00050,0.2033,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00051,0.4751,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00052,0.1777,GO,MEDIUM,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00053,0.9490,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00054,0.9705,NO_GO,HIGH,{},2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
UPC_00055,0.3759,NO_GO,HIGH,"{""device_type"":""EdgeAI-Node"",""hardware_series"":""NX-5200"",""vendor_name"":""Moxa""}",2026-07-21T20:11:30.081562Z,2026-07-31T19:08:44.331964Z
