deployment_id,device_id,vendor_name,device_type,hardware_series,fleet_tier,current_firmware,target_firmware,firmware_fingerprint,version_jump_magnitude,kernel_touched,bootloader_touched,site_id,site_criticality,network_stress_score,cross_vendor_dependency_count,dependent_device_count,protocol_mismatch_flag,error_rate_predeploy,uptime_days,past_failure_count,firmware_release_age_days,cve_count,max_cvss_score,deployment_type,maintenance_window,deployment_date
UPC_00014,DEV_01662,Cisco,Switch,IE-3300,TIER_2,16.9.21,16.9.25,CIS-016925,0.84,0,0,SITE_030,MEDIUM,0.341,1,0,0,0.07,32.0,0,313.4,2,3.5,SCHEDULED,1,2024-01-15
UPC_00015,DEV_00442,Cisco,Controller,IC3000-CTL,TIER_2,16.8.30,16.8.33,CIS-016833,1.18,0,0,SITE_002,LOW,0.152,2,5,0,0.031,56.9,0,91.0,2,3.5,SCHEDULED,1,2024-01-15
UPC_00016,DEV_01430,Schneider,PLC,M251,TIER_3,2.8.21,2.8.24,SCH-002824,1.46,0,0,SITE_028,LOW,0.279,0,3,0,0.046,48.1,0,283.8,2,2.0,SCHEDULED,1,2024-01-15
UPC_00017,DEV_00938,Siemens,HMI,TP1200,TIER_2,3.4.42,3.4.44,SIE-003444,0.31,0,0,SITE_018,MEDIUM,0.279,0,0,0,0.048,162.4,0,254.4,0,2.4,SCHEDULED,1,2024-01-15
UPC_00018,DEV_01114,Schneider,PLC,M251,TIER_2,1.9.10,1.9.14,SCH-001914,0.13,0,0,SITE_014,LOW,0.329,1,4,0,0.072,171.4,0,185.3,0,1.0,SCHEDULED,1,2024-01-15
UPC_00019,DEV_00587,Schneider,Gateway,EGX300,TIER_2,5.5.6,5.5.11,SCH-005511,1.43,0,0,SITE_027,MEDIUM,0.076,3,3,0,0.044,41.8,0,325.8,0,0.5,SCHEDULED,1,2024-01-15
UPC_00020,DEV_01206,Cisco,Gateway,IR1101,TIER_2,15.0.11,15.0.15,CIS-015015,1.43,0,0,SITE_019,MEDIUM,0.1,2,5,0,0.047,133.1,0,389.0,2,3.0,SCHEDULED,1,2024-01-15
UPC_00021,DEV_01368,Honeywell,Controller,Experion-C300,TIER_3,7.1.13,7.5.4,HON-000754,4.14,1,0,SITE_026,HIGH,0.649,2,0,1,0.154,558.8,1,16.1,3,4.2,SCHEDULED,0,2024-01-15
UPC_00022,DEV_00073,Honeywell,HMI,Experion-Console,TIER_3,6.4.8,6.8.4,HON-000684,2.02,0,0,SITE_020,HIGH,0.419,1,2,0,0.226,335.4,3,21.9,5,4.7,SCHEDULED,1,2024-01-15
UPC_00023,DEV_00688,Honeywell,Controller,ControlEdge-UOC,TIER_2,4.0.26,4.2.8,HON-000428,4.42,0,0,SITE_022,MEDIUM,0.378,4,2,1,0.14,505.6,3,53.2,2,6.4,SCHEDULED,0,2024-01-15
UPC_00024,DEV_01544,Siemens,PLC,S7-1500,TIER_1,4.5.11,4.8.6,SIE-000486,4.4,0,0,SITE_030,MEDIUM,0.425,2,4,0,0.171,370.1,2,19.2,5,4.9,SCHEDULED,1,2024-01-15
UPC_00025,DEV_00279,Siemens,HMI,TP1200,TIER_2,4.3.49,4.7.2,SIE-000472,2.15,0,0,SITE_033,MEDIUM,0.641,5,3,0,0.108,542.8,2,20.7,5,7.2,SCHEDULED,1,2024-01-15
UPC_00026,DEV_00236,Cisco,Switch,IE-3400,TIER_3,16.0.19,16.2.7,CIS-001627,2.8,1,0,SITE_018,MEDIUM,0.436,1,0,1,0.106,448.4,2,58.4,6,6.6,SCHEDULED,1,2024-01-15
UPC_00027,DEV_00869,Schneider,PLC,M340,TIER_2,1.5.15,1.7.1,SCH-000171,3.75,0,0,SITE_033,MEDIUM,0.367,0,3,0,0.225,334.3,1,13.4,3,5.4,SCHEDULED,0,2024-01-15
UPC_00028,DEV_01011,Schneider,HMI,Magelis-GTU,TIER_3,4.0.17,4.4.2,SCH-000442,3.26,1,0,SITE_029,MEDIUM,0.63,4,5,0,0.194,457.1,3,23.3,3,6.4,MAINTENANCE_WINDOW,1,2024-01-15
UPC_00029,DEV_01361,Siemens,PLC,ET200MP,TIER_1,2.7.3,2.10.2,SIE-002102,2.03,0,0,SITE_024,MEDIUM,0.372,2,4,0,0.166,366.2,2,27.5,2,7.1,MAINTENANCE_WINDOW,1,2024-01-15
UPC_00030,DEV_01418,Schneider,Gateway,Link150,TIER_1,3.2.12,3.4.8,SCH-000348,4.5,1,0,SITE_035,MEDIUM,0.534,1,0,0,0.194,577.3,2,56.6,2,7.3,SCHEDULED,1,2024-01-15
UPC_00031,DEV_00553,Cisco,Switch,IE-3200,TIER_3,16.3.20,16.5.2,CIS-001652,4.23,0,0,SITE_026,HIGH,0.432,3,1,0,0.202,401.8,2,41.7,4,5.8,MAINTENANCE_WINDOW,0,2024-01-15
UPC_00032,DEV_00781,Siemens,PLC,ET200MP,TIER_1,4.5.27,4.7.7,SIE-000477,4.49,0,0,SITE_007,MEDIUM,0.351,2,1,0,0.188,431.0,1,47.1,6,6.5,SCHEDULED,0,2024-01-15
UPC_00033,DEV_00778,Cisco,Switch,IE-4000,TIER_2,16.2.23,16.4.3,CIS-001643,3.64,1,0,SITE_027,MEDIUM,0.525,3,3,0,0.153,320.9,2,28.2,2,7.1,SCHEDULED,0,2024-01-15
UPC_00034,DEV_00653,Honeywell,HMI,Experion-Orion,TIER_2,6.2.24,6.6.2,HON-000662,3.06,1,0,SITE_025,HIGH,0.642,1,4,0,0.237,418.4,2,18.1,3,7.1,SCHEDULED,0,2024-01-15
UPC_00035,DEV_01215,Honeywell,HMI,Experion-Console,TIER_3,7.9.3,7.13.6,HON-007136,4.35,1,0,SITE_013,MEDIUM,0.591,1,4,0,0.125,693.7,1,15.4,2,7.0,SCHEDULED,0,2024-01-15
UPC_00036,DEV_01766,Honeywell,HMI,Experion-Console,TIER_2,5.0.5,5.3.6,HON-000536,2.92,0,0,SITE_012,HIGH,0.417,3,4,0,0.148,439.3,3,13.5,4,5.2,MAINTENANCE_WINDOW,1,2024-01-15
UPC_00037,DEV_01563,Siemens,HMI,TP700,TIER_3,4.5.35,4.7.2,SIE-000472,4.63,1,0,SITE_026,HIGH,0.404,4,5,1,0.087,598.3,1,27.3,4,5.5,SCHEDULED,1,2024-01-15
UPC_00038,DEV_01620,Siemens,PLC,ET200SP,TIER_3,3.0.18,3.4.4,SIE-000344,2.76,1,0,SITE_013,MEDIUM,0.351,2,4,0,0.142,335.0,1,43.2,4,6.2,SCHEDULED,1,2024-01-15
UPC_00039,DEV_01645,Cisco,Switch,IE-3400,TIER_2,15.6.14,15.10.5,CIS-015105,4.0,1,0,SITE_030,MEDIUM,0.471,2,3,1,0.174,395.9,2,43.2,5,6.4,SCHEDULED,1,2024-01-15
UPC_00040,DEV_01753,Schneider,PLC,Quantum,TIER_1,3.5.6,3.8.9,SCH-000389,4.5,1,0,SITE_031,MEDIUM,0.436,2,1,1,0.214,603.3,3,26.1,5,5.5,SCHEDULED,1,2024-01-15
UPC_00041,DEV_00607,Siemens,HMI,TP900,TIER_1,3.8.47,7.0.2,SIE-000702,6.64,1,1,SITE_015,HIGH,0.681,2,2,1,0.536,1081.8,3,5.3,7,7.9,EMERGENCY,0,2024-01-15
UPC_00042,DEV_01275,Cisco,Gateway,IC3000,TIER_1,16.5.24,18.0.8,CIS-001808,7.95,1,0,SITE_015,HIGH,0.8,4,2,1,0.516,1490.8,3,11.1,9,8.7,EMERGENCY,0,2024-01-15
UPC_00043,DEV_00661,Siemens,HMI,TP1200,TIER_1,4.3.47,6.0.1,SIE-000601,9.07,1,0,SITE_005,HIGH,0.907,2,0,1,0.316,1764.9,3,10.7,9,7.6,EMERGENCY,0,2024-01-15
UPC_00044,DEV_00695,Siemens,HMI,TP1500,TIER_1,4.5.19,6.0.8,SIE-000608,6.03,1,1,SITE_020,HIGH,0.87,3,6,1,0.546,1514.5,3,14.3,9,9.0,EMERGENCY,0,2024-01-15
UPC_00045,DEV_00283,Schneider,RTU,T300,TIER_1,1.1.26,5.2.7,SCH-000527,8.82,1,1,SITE_015,HIGH,0.946,4,6,1,0.473,1369.6,3,4.6,7,9.6,EMERGENCY,0,2024-01-15
UPC_00046,DEV_NEW_001,Siemens,PLC,ET200MP,TIER_2,6.5.16,6.5.18,SIE-006518,0.48,0,0,SITE_003,MEDIUM,0.314,1,2,0,0.047,27.3,0,37.3,1,1.2,SCHEDULED,1,2024-01-15
UPC_00047,DEV_NEW_002,Cisco,Switch,IE-5000,TIER_2,5.2.3,5.2.7,CIS-000527,0.67,0,0,SITE_018,MEDIUM,0.24,1,1,0,0.087,14.7,0,99.3,0,4.3,SCHEDULED,1,2024-01-15
UPC_00048,DEV_NEW_003,Honeywell,Controller,HC900,TIER_2,8.4.16,8.4.17,HON-008417,1.42,0,0,SITE_010,MEDIUM,0.326,2,3,0,0.08,18.7,0,84.3,1,2.4,SCHEDULED,1,2024-01-15
UPC_00049,DEV_NEW_004,Schneider,Gateway,EGX300,TIER_2,6.4.16,6.4.17,SCH-006417,0.64,0,0,SITE_013,MEDIUM,0.317,2,1,0,0.098,18.4,0,111.6,0,0.4,SCHEDULED,1,2024-01-15
UPC_00050,DEV_NEW_005,Cisco,RTU,IC3000,TIER_2,7.2.15,7.2.17,CIS-007217,0.17,0,0,SITE_013,MEDIUM,0.198,2,2,0,0.047,27.0,0,55.0,3,1.3,SCHEDULED,1,2024-01-15
UPC_00051,DEV_NEW_006,Siemens,PLC,S7-1500,TIER_1,8.2.1,8.2.4,SIE-008204,0.42,1,0,SITE_015,HIGH,0.31,2,3,0,0.041,89.6,1,52.0,1,2.1,SCHEDULED,1,2024-02-01
UPC_00052,DEV_NEW_007,Cisco,RTU,IC3000,TIER_2,15.4.18,15.4.21,CIS-015421,0.38,0,0,SITE_018,MEDIUM,0.22,1,2,0,0.052,61.3,0,44.0,0,1.8,SCHEDULED,1,2024-02-01
UPC_00053,DEV_NEW_008,Schneider,HMI,Magelis-GTO,TIER_2,3.2.31,5.1.2,SCH-005102,7.84,1,1,SITE_017,MEDIUM,0.58,3,4,1,0.21,38.4,2,18.0,4,6.7,EMERGENCY,0,2024-02-01
UPC_00054,DEV_NEW_009,Honeywell,Controller,ControlEdge-UOC,TIER_3,4.6.9,4.6.20,HON-004620,6.91,1,1,SITE_006,HIGH,0.71,4,5,1,0.34,22.1,2,9.0,5,8.1,EMERGENCY,0,2024-02-01
UPC_00055,DEV_NEW_010,Moxa,EdgeAI-Node,NX-5200,TIER_1,2.0.0,3.1.0,MOX-003100,1.45,1,0,SITE_028,HIGH,0.19,0,1,0,0.038,12.0,0,6.0,0,0.5,SCHEDULED,1,2024-02-01
